Stage,Architecture,Model_Size,Hidden_Size,Seed,Unique_Parameters,Total_Parameters,Effective_Depth,Shared_Ratio,Band,Token_Marker,Validation_Loss,Stream_Count,Merge_At,Overall_Stereotype_Preference_Rate,Macro_Average_Preference_Rate,Mean_Effect_Size,Bootstrap_CI_Low,Bootstrap_CI_High,PLL_SS_PLL_Agreement,Scored_Row_Count,Failed_Row_Count,Tied_Pair_Count,Timestamp
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,2.7,,2.688212179782392,,,0.5510610079575596,0.5932141875887089,0.06537657939103837,0.0407715870081599,0.09085802481205132,0.6913333333333334,1508,0,0,2026-07-29T01:14:31.415458Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,2.4,,2.395902057321288,,,0.5676392572944297,0.584279658380142,0.05746264623014181,0.03271403734253775,0.08232735779396255,0.686,1508,0,0,2026-07-29T01:15:45.486196Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,2.2,,2.191694966556164,,,0.5537135278514589,0.5908076087677461,0.04705790993021506,0.022532038723503046,0.07278663807672502,0.684,1508,0,0,2026-07-29T01:16:59.186598Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,5.0,,3.627382946055004,,,0.5557029177718833,0.5598739756820297,0.016821875215148642,-0.004995665355897235,0.036559356817365225,0.6893333333333334,1508,0,0,2026-07-29T01:18:18.081114Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,4.0,,3.627382946055004,,,0.5557029177718833,0.5598739756820297,0.016821875215148642,-0.004995665355897235,0.036559356817365225,0.6893333333333334,1508,0,0,2026-07-29T01:19:38.443941Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,3.4,,2.9226088233580736,,,0.5789124668435013,0.5816406200010128,0.04526060986261125,0.022822474666974513,0.06810095564144164,0.7053333333333334,1508,0,0,2026-07-29T01:20:58.351721Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,3.0,,2.9226088233580736,,,0.5789124668435013,0.5816406200010128,0.04526060986261125,0.022822474666974513,0.06810095564144164,0.7053333333333334,1508,0,0,2026-07-29T01:22:17.252388Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,2.7,,2.647432264423005,,,0.5623342175066313,0.5687051930973942,0.04873964846249691,0.02421449964211692,0.073705773521597,0.6806666666666666,1508,0,0,2026-07-29T01:23:36.522458Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,2.4,,2.387730633121391,,,0.5464190981432361,0.5783140229606958,0.04713582742205622,0.021947608518394942,0.07225378018926054,0.68,1508,0,0,2026-07-29T01:24:55.245119Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,2.2,,2.1626932162840653,,,0.5576923076923077,0.5844378687347205,0.05908521238619228,0.033776192099444075,0.08486329910647653,0.6946666666666667,1508,0,0,2026-07-29T01:26:14.275482Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,5.0,,4.037003418332518,4,,0.5563660477453581,0.551451190894434,0.012353270710570883,-0.007219922719468992,0.030929196806761386,0.6966666666666667,1508,0,0,2026-07-29T01:27:40.054922Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,4.0,,3.7005346013211655,4,,0.5603448275862069,0.5927522855992193,0.0281648543131935,0.006956300628464515,0.04949433167536081,0.7073333333333334,1508,0,0,2026-07-29T01:29:06.642184Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,3.4,,3.1084518075344563,4,,0.5683023872679045,0.5901647639703751,0.04270916044529086,0.019572903337228983,0.06541608713385699,0.68,1508,0,0,2026-07-29T01:30:32.660904Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,3.0,,2.9707007868130595,4,,0.5696286472148541,0.5886860652298451,0.046992779817286084,0.023694916635188218,0.06993903224975162,0.7006666666666667,1508,0,0,2026-07-29T01:32:02.665573Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,2.7,,2.658794095172127,4,,0.5570291777188329,0.5854404305166387,0.048800974179107136,0.02461030714127005,0.07338020290917414,0.6806666666666666,1508,0,0,2026-07-29T01:33:29.255824Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,2.4,,2.383310746882712,4,,0.536472148541114,0.5830635137404339,0.04461013843150762,0.021057944645066863,0.06917324776628533,0.6873333333333334,1508,0,0,2026-07-29T01:34:56.898122Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,2.2,,2.19633932426261,4,,0.5570291777188329,0.595971118683665,0.0466059292089557,0.022427840443609758,0.0716204658551938,0.7086666666666667,1508,0,0,2026-07-29T01:36:25.865325Z
